,0
618,11
619,2
620,11
621,3
622,5
623,14
624,12
625,6
626,3
627,12
628,2
629,12
630,14
631,10
632,14
633,10
634,10
635,11
636,2
637,14
638,10
639,3
640,10
641,10
642,5
643,5
644,14
645,12
646,12
647,12
648,2
649,11
650,10
651,12
652,14
653,11
654,5
655,12
656,3
657,6
658,6
659,3
660,8
661,3
662,5
663,2
664,6
665,2
666,12
667,6
668,6
669,8
670,14
671,2
672,6
673,14
674,2
675,2
676,6
677,12
678,6
679,8
680,6
681,11
682,12
683,2
684,6
685,2
686,10
687,12
688,14
689,2
690,12
691,6
692,12
693,10
694,10
695,14
696,12
697,14
698,2
699,10
700,12
701,2
702,10
703,14
704,12
705,8
706,6
707,12
708,8
709,10
710,12
711,8
712,8
713,2
714,2
715,3
716,10
717,2
718,2
719,12
720,2
721,14
722,12
723,10
724,3
725,12
726,10
727,11
728,12
729,12
730,12
731,14
732,12
733,8
734,2
735,14
736,14
737,10
738,8
739,10
740,12
741,2
742,6
743,14
744,14
745,10
746,2
747,6
748,3
749,10
750,5
751,14
752,11
753,6
754,14
755,6
756,2
757,11
758,8
759,2
760,6
761,10
762,10
763,11
764,6
765,12
766,14
767,6
768,12
769,10
770,2
771,14
772,12
773,3
774,3
775,11
776,12
777,10
778,3
779,3
780,14
781,12
782,10
783,12
784,12
785,2
786,2
787,12
788,3
789,6
790,10
791,10
792,2
793,5
794,3
795,2
796,8
797,10
798,11
799,10
800,11
801,10
802,10
803,5
804,12
805,12
806,14
807,12
808,11
809,10
810,3
811,8
812,6
813,12
814,12
815,12
816,10
817,10
818,5
819,10
820,10
821,14
822,3
823,10
824,6
825,12
826,14
827,2
828,6
829,14
830,2
831,12
832,12
833,11
834,6
835,12
836,2
837,10
838,12
839,2
840,12
841,2
842,12
843,12
844,12
845,2
846,10
847,12
848,11
849,8
850,11
851,10
852,2
853,10
854,8
855,3
856,10
857,2
858,2
859,12
860,12
861,10
862,11
863,3
864,2
865,6
866,12
867,14
868,10
869,10
870,10
871,12
872,12
873,12
874,8
875,10
876,2
877,3
878,10
879,2
880,12
881,11
882,3
883,11
884,11
885,3
886,14
887,2
888,10
889,6
890,11
891,6
892,12
893,8
894,10
895,11
896,11
897,10
898,6
899,8
900,10
901,5
902,2
903,10
904,2
905,2
906,10
907,10
908,14
909,8
910,14
911,8
912,2
913,14
914,10
915,11
916,2
917,10
918,12
919,10
920,2
921,3
922,6
923,10
924,2
925,11
926,8
927,12
928,10
929,12
930,3
931,14
932,12
933,12
934,12
935,3
936,10
937,10
938,2
939,10
940,6
941,6
942,8
943,3
944,2
945,5
946,10
947,10
948,2
949,12
950,8
951,2
952,12
953,8
954,2
955,12
956,8
957,3
958,2
959,2
960,3
961,8
962,3
963,10
964,3
965,12
966,12
967,14
968,2
969,12
970,2
971,14
972,5
973,12
974,6
975,3
976,11
977,14
978,2
979,11
980,10
981,12
982,12
983,2
984,10
985,11
986,11
987,2
988,6
989,6
990,12
991,12
992,3
993,2
994,2
995,3
996,11
997,12
998,10
999,10
1000,12
1001,5
1002,12
1003,8
1004,3
1005,3
1006,14
1007,10
1008,8
1009,3
1010,12
1011,12
1012,14
1013,6
1014,3
1015,10
1016,3
1017,11
1018,10
1019,11
1020,2
1021,14
1022,14
1023,5
1024,10
1025,14
1026,6
1027,14
1028,11
1029,12
1030,2
1031,3
1032,14
1033,10
1034,3
1035,12
1036,2
1037,10
1038,14
1039,2
1040,10
1041,2
1042,2
1043,6
1044,14
1045,12
1046,2
1047,8
1048,2
1049,11
1050,12
1051,10
1052,12
1053,11
1054,6
1055,2
1056,12
1057,12
1058,3
1059,8
1060,3
1061,2
1062,12
1063,14
1064,14
1065,12
1066,3
1067,12
1068,3
1069,8
1070,2
1071,6
1072,11
1073,14
1074,14
1075,6
1076,6
1077,10
1078,11
1079,12
1080,2
1081,3
1082,2
1083,10
1084,3
1085,11
1086,12
1087,10
1088,14
1089,11
1090,10
1091,11
1092,3
1093,11
1094,5
1095,2
1096,12
1097,12
1098,14
1099,14
1100,5
1101,6
1102,2
1103,3
1104,6
1105,12
1106,10
1107,3
1108,6
1109,2
1110,2
1111,12
1112,11
1113,5
1114,10
1115,2
1116,2
1117,12
1118,12
1119,5
1120,10
1121,11
1122,10
1123,14
1124,2
1125,8
1126,11
1127,11
1128,2
1129,12
1130,2
1131,2
1132,5
1133,11
1134,2
1135,5
1136,14
1137,2
1138,12
1139,2
1140,14
1141,3
1142,3
1143,14
1144,10
1145,11
1146,11
1147,2
1148,12
1149,6
1150,11
1151,12
1152,2
1153,14
1154,11
1155,12
1156,12
1157,10
1158,2
1159,10
1160,10
1161,10
1162,6
1163,14
1164,6
1165,3
1166,3
1167,14
1168,8
1169,2
1170,12
1171,12
1172,2
1173,3
1174,2
1175,14
1176,3
1177,12
1178,14
1179,2
1180,10
1181,14
1182,2
1183,6
1184,3
1185,12
1186,14
1187,10
1188,10
1189,8
1190,3
1191,6
1192,2
1193,3
1194,5
1195,10
1196,14
1197,10
1198,12
1199,14
1200,2
1201,2
1202,12
1203,8
1204,10
1205,3
1206,6
1207,2
1208,8
1209,3
1210,11
1211,12
1212,10
1213,10
1214,12
1215,2
1216,6
1217,8
1218,11
1219,11
1220,12
1221,5
1222,12
1223,11
1224,5
1225,5
1226,12
1227,14
1228,2
1229,12
1230,6
1231,10
1232,14
1233,11
1234,3
1235,12
1236,8
1237,10
1238,10
1239,3
1240,14
1241,12
1242,12
1243,3
1244,3
1245,11
1246,12
1247,2
1248,3
1249,3
1250,2
1251,10
1252,2
1253,10
1254,2
1255,12
1256,10
1257,2
1258,10
1259,6
1260,12
1261,10
1262,2
1263,5
1264,6
1265,10
1266,10
1267,10
1268,5
1269,10
1270,12
1271,12
1272,2
1273,10
1274,8
1275,2
1276,6
1277,10
1278,12
1279,2
1280,8
1281,10
1282,8
1283,2
1284,2
1285,6
1286,10
1287,14
1288,12
1289,2
1290,2
1291,3
1292,6
1293,12
1294,12
1295,5
1296,14
1297,10
1298,10
1299,2
1300,14
1301,12
1302,10
1303,2
1304,12
1305,14
1306,14
1307,14
1308,2
1309,14
1310,5
1311,5
1312,2
1313,10
1314,2
1315,10
1316,10
1317,3
1318,2
1319,11
1320,8
1321,12
1322,2
1323,11
1324,11
1325,14
1326,5
1327,2
1328,14
1329,5
1330,14
1331,12
1332,3
1333,12
1334,12
1335,12
1336,10
1337,5
1338,12
1339,14
1340,6
1341,10
1342,10
1343,3
1344,14
1345,2
1346,10
1347,14
1348,11
1349,2
1350,10
1351,5
1352,3
1353,10
1354,2
1355,2
1356,6
1357,10
1358,14
1359,3
1360,12
1361,10
1362,12
1363,11
1364,2
1365,14
1366,12
1367,12
1368,12
1369,3
1370,2
1371,3
1372,10
1373,6
1374,8
1375,2
1376,6
1377,3
1378,14
1379,11
1380,12
1381,5
1382,11
1383,14
1384,2
1385,12
1386,10
1387,3
1388,10
1389,3
1390,14
1391,14
1392,6
1393,6
1394,2
1395,12
1396,3
1397,3
1398,12
1399,6
1400,2
1401,2
1402,12
1403,6
1404,2
1405,14
1406,12
1407,11
1408,5
1409,11
1410,3
1411,10
1412,2
1413,5
1414,5
1415,14
1416,10
1417,10
1418,12
1419,3
1420,12
1421,12
1422,2
1423,14
1424,14
1425,12
1426,10
1427,10
1428,14
1429,12
1430,2
1431,10
1432,8
1433,5
1434,12
1435,14
1436,2
1437,8
1438,12
1439,10
1440,12
1441,2
1442,10
1443,12
1444,3
1445,2
1446,10
1447,5
1448,14
1449,2
1450,3
1451,2
1452,10
1453,5
1454,5
1455,14
1456,6
1457,10
1458,12
1459,8
1460,14
1461,12
1462,12
1463,5
1464,12
1465,12
1466,14
1467,3
1468,3
1469,14
1470,2
1471,3
1472,12
1473,2
1474,5
1475,6
1476,6
1477,8
1478,2
1479,10
1480,6
1481,2
1482,3
1483,12
1484,12
1485,10
1486,3
1487,10
1488,10
1489,10
1490,11
1491,3
1492,3
1493,2
1494,6
1495,2
1496,2
1497,12
1498,10
1499,14
1500,14
1501,14
1502,10
1503,14
1504,2
1505,6
1506,8
1507,8
1508,2
1509,6
1510,2
1511,10
1512,3
1513,14
1514,10
1515,12
1516,6
1517,8
1518,10
1519,12
1520,2
1521,2
1522,6
1523,2
1524,10
1525,2
1526,5
1527,2
1528,2
1529,14
1530,3
1531,3
1532,10
1533,5
1534,10
1535,6
1536,12
1537,8
1538,2
1539,5
1540,2
1541,2
1542,10
1543,3
1544,6
1545,11
1546,12
1547,12
1548,3
1549,11
1550,8
1551,11
1552,3
1553,2
1554,10
1555,3
1556,12
1557,10
1558,12
1559,6
1560,12
1561,10
1562,12
1563,14
1564,6
1565,14
1566,3
1567,10
1568,10
1569,8
1570,12
1571,10
1572,3
1573,2
1574,10
1575,2
1576,8
1577,2
1578,10
1579,10
1580,12
1581,14
1582,8
1583,2
1584,14
1585,3
1586,3
1587,6
1588,6
1589,8
1590,6
1591,2
1592,8
1593,11
1594,2
1595,2
1596,3
1597,10
1598,14
1599,14
1600,12
1601,6
1602,12
1603,11
1604,10
1605,14
1606,3
1607,10
1608,6
1609,10
1610,10
1611,10
1612,3
1613,5
1614,12
1615,3
1616,3
1617,14
1618,6
1619,5
1620,2
1621,14
1622,14
1623,2
1624,12
1625,14
1626,12
1627,2
1628,3
1629,14
1630,14
1631,2
1632,11
1633,14
1634,14
1635,8
1636,8
1637,3
1638,10
1639,11
1640,10
1641,12
1642,10
1643,11
1644,8
1645,6
1646,6
1647,3
1648,10
1649,2
1650,10
1651,2
1652,2
1653,11
1654,2
1655,10
1656,2
1657,2
1658,10
1659,8
1660,12
1661,10
1662,12
1663,12
1664,3
1665,3
1666,2
1667,12
1668,11
1669,14
1670,11
1671,3
1672,2
1673,11
1674,3
1675,2
1676,2
1677,6
1678,14
1679,8
1680,2
1681,2
1682,2
1683,2
1684,10
1685,14
1686,2
1687,11
1688,10
1689,11
1690,5
1691,12
1692,10
1693,6
1694,5
1695,3
1696,2
1697,10
1698,10
1699,12
1700,5
1701,2
1702,14
1703,2
1704,2
1705,6
1706,11
1707,6
1708,12
1709,6
1710,3
1711,5
1712,2
1713,3
1714,12
1715,5
1716,10
1717,6
1718,12
1719,2
1720,14
1721,6
1722,3
1723,12
1724,5
1725,8
1726,12
1727,2
1728,2
1729,2
1730,14
1731,6
1732,2
1733,12
1734,14
1735,12
1736,6
1737,2
1738,14
1739,12
1740,11
1741,10
1742,12
1743,2
1744,8
1745,11
1746,6
1747,3
1748,10
1749,10
1750,2
1751,14
1752,2
1753,2
1754,10
1755,12
1756,10
1757,3
1758,6
1759,12
1760,12
1761,5
1762,10
1763,2
1764,12
1765,12
1766,10
1767,12
1768,5
1769,6
1770,8
1771,11
1772,8
1773,6
1774,10
1775,12
1776,12
1777,10
1778,3
1779,10
1780,14
1781,3
1782,10
1783,8
1784,6
1785,3
1786,2
1787,12
1788,10
1789,10
1790,8
1791,6
1792,6
1793,5
1794,12
1795,12
1796,3
1797,3
1798,10
1799,6
1800,3
1801,12
1802,10
1803,6
1804,10
1805,14
1806,11
1807,2
1808,6
1809,3
1810,3
1811,10
1812,6
1813,2
1814,10
1815,12
1816,10
1817,3
1818,10
1819,5
1820,6
1821,14
1822,6
1823,14
1824,10
1825,14
1826,6
1827,10
1828,12
1829,6
1830,3
1831,11
1832,14
1833,11
1834,6
1835,10
1836,14
1837,10
1838,12
1839,6
1840,10
1841,2
1842,2
1843,14
1844,8
1845,10
1846,6
1847,10
1848,8
1849,11
1850,2
1851,2
1852,14
1853,2
1854,14
1855,14
1856,12
1857,6
1858,6
1859,14
1860,6
1861,10
1862,10
1863,2
1864,12
1865,5
1866,2
1867,12
1868,11
1869,2
1870,11
1871,5
1872,11
1873,2
1874,12
1875,2
1876,12
1877,2
1878,12
1879,14
1880,2
1881,10
1882,8
1883,10
1884,8
1885,3
1886,10
1887,2
1888,10
1889,2
1890,10
1891,2
1892,10
1893,10
1894,12
1895,12
1896,11
1897,5
1898,12
1899,14
1900,10
1901,2
1902,2
1903,12
1904,2
1905,6
1906,10
1907,11
1908,12
1909,11
1910,3
1911,12
1912,6
1913,3
1914,14
1915,14
1916,6
1917,10
1918,8
1919,12
1920,3
1921,2
1922,10
1923,6
1924,10
1925,14
1926,10
1927,12
1928,11
1929,14
1930,14
1931,11
1932,12
1933,14
1934,12
1935,14
1936,10
1937,14
1938,2
1939,10
1940,12
1941,2
1942,12
1943,12
1944,12
1945,12
1946,8
1947,3
1948,10
1949,2
1950,12
1951,10
1952,2
1953,12
1954,10
1955,12
1956,2
1957,10
1958,12
1959,2
1960,10
1961,14
1962,11
1963,12
1964,10
1965,14
1966,12
1967,2
1968,3
1969,6
1970,10
1971,6
1972,2
1973,3
1974,11
1975,5
1976,5
1977,2
1978,14
1979,14
1980,14
1981,12
1982,12
1983,10
1984,14
1985,2
1986,2
1987,2
1988,5
1989,12
1990,11
1991,6
1992,12
1993,12
1994,12
1995,10
1996,2
1997,12
1998,12
1999,12
2000,14
2001,2
2002,10
2003,5
2004,12
2005,2
2006,6
2007,5
2008,3
2009,6
2010,14
2011,5
2012,12
2013,10
2014,2
2015,14
2016,5
2017,2
2018,11
2019,6
2020,10
2021,11
2022,3
2023,8
2024,2
2025,14
2026,12
2027,5
2028,3
2029,10
2030,10
2031,11
2032,14
2033,10
2034,5
2035,3
2036,14
2037,10
2038,3
2039,11
2040,12
2041,2
2042,12
2043,10
2044,12
2045,12
2046,14
2047,2
2048,2
2049,11
2050,12
2051,10
2052,2
2053,10
2054,14
2055,10
2056,3
2057,14
2058,14
2059,6
2060,5
2061,12
2062,2
2063,12
2064,14
2065,12
2066,8
2067,11
2068,8
2069,10
2070,6
2071,12
2072,10
2073,11
2074,12
2075,6
2076,14
2077,12
2078,11
2079,6
2080,12
2081,2
2082,2
2083,12
2084,12
2085,5
2086,12
2087,12
2088,6
2089,11
2090,10
2091,14
2092,2
2093,10
2094,14
2095,2
2096,2
2097,6
2098,6
2099,12
2100,3
2101,10
2102,2
2103,2
2104,10
2105,14
2106,2
2107,2
2108,11
2109,2
2110,2
2111,10
2112,2
2113,10
2114,6
2115,2
2116,11
2117,12
2118,12
2119,8
2120,14
2121,10
2122,12
2123,14
2124,3
2125,11
2126,10
2127,12
2128,3
2129,10
2130,2
2131,8
2132,3
2133,12
2134,2
2135,8
2136,12
2137,14
2138,14
2139,10
2140,5
2141,5
2142,2
2143,10
2144,2
2145,12
2146,2
2147,10
2148,3
2149,5
2150,12
2151,14
2152,8
2153,3
2154,12
2155,12
2156,14
2157,2
2158,6
2159,10
2160,10
2161,5
2162,10
2163,11
2164,11
2165,8
2166,10
2167,14
2168,12
2169,14
2170,12
2171,2
2172,6
2173,12
2174,11
2175,12
2176,12
2177,3
2178,14
2179,14
2180,12
2181,10
2182,2
2183,6
2184,3
2185,2
2186,10
2187,3
2188,11
2189,10
2190,10
2191,11
2192,14
2193,5
2194,10
2195,11
2196,2
2197,12
2198,12
2199,2
2200,2
2201,8
2202,14
2203,11
2204,10
2205,11
2206,10
2207,12
2208,14
2209,11
2210,14
2211,8
2212,10
2213,2
2214,2
2215,10
2216,12
2217,3
2218,14
2219,10
2220,10
2221,12
2222,10
2223,12
2224,14
2225,14
2226,14
2227,3
2228,2
2229,11
2230,2
2231,5
2232,10
2233,12
2234,10
2235,6
2236,12
2237,10
2238,3
2239,2
2240,10
2241,6
2242,2
2243,10
2244,12
2245,12
2246,5
2247,10
2248,10
2249,3
2250,10
2251,2
2252,14
2253,6
2254,12
2255,10
2256,10
2257,14
2258,14
2259,12
2260,12
2261,10
2262,2
2263,12
2264,12
2265,12
2266,12
2267,12
2268,5
2269,3
2270,8
2271,2
2272,2
2273,10
2274,5
2275,12
2276,14
2277,12
2278,12
2279,14
2280,8
2281,12
2282,12
2283,12
2284,10
2285,12
2286,2
2287,5
2288,11
2289,12
2290,5
2291,5
2292,12
2293,14
2294,10
2295,3
2296,2
2297,10
2298,14
2299,6
2300,11
2301,11
2302,10
2303,11
2304,2
2305,10
2306,3
2307,14
2308,12
2309,6
